schema_version,record_type,source_name,source_url,startup_name,product_name,pricing_model,description,website,category,collected_at
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/histowiz,HistoWiz,HistoWiz,UNKNOWN,Accelerating Histopathology for Cancer Research ,http://histowiz.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/sendbird,Sendbird,Sendbird,UNKNOWN,"The AI agent that doesn’t just support, it delights.",https://sendbird.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/iris-automation,Iris Automation,Iris Automation,UNKNOWN,Enabling autonomous drone operations globally through AI software,http://www.irisonboard.com,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/onechronos,OneChronos,OneChronos,UNKNOWN,The Smart Market for Institutional Investors,https://www.onechronos.com/,Fintech,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/airo-health,Airo Health,Airo Health,UNKNOWN,Airo is an AI wearable to track mental health.,http://www.airohealth.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/athelas,Athelas,Athelas,UNKNOWN,"Extensible, Integrated Technology that Simplifies Health Systems",http://athelas.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/entry,Entry,Entry,UNKNOWN,Biometric sign in and identity verification platform,http://getentry.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/veryfi-inc,"Veryfi, Inc.","Veryfi, Inc.",UNKNOWN,Document AI. One API Call.,https://www.veryfi.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/alemhealth,AlemHealth,AlemHealth,UNKNOWN,AI Radiologist in a Box - We provide a vertically integrated AI…,https://www.alemhealth.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/nanonets,NanoNets,NanoNets,UNKNOWN,Automatic Data Extraction,https://nanonets.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/ridecell,Ridecell,Ridecell,UNKNOWN,World's Leading Fleet Intelligence Platform,https://www.ridecell.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/skyways,Skyways,Skyways,UNKNOWN,Creating a new form of air transportation to advance our civilization,http://skyways.com,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/standard-ai,Standard AI,Standard AI,UNKNOWN,AI-powered checkout for retail.,https://standard.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/spect,Spect,Spect,UNKNOWN,Value-based retinal screening in primary care to prevent blindness. ,http://www.getspect.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/assemblyai,AssemblyAI,AssemblyAI,UNKNOWN,The best way to build Voice AI apps,https://www.assemblyai.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/thematic,Thematic,Thematic,UNKNOWN,Customer intelligence for Enterprise CX teams. The grounded…,http://www.getthematic.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/followupthen,FollowUpThen,FollowUpThen,UNKNOWN,FollowUpThen is an email-based personal assistant that sends you…,https://www.followupthen.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/jasper-ai,Jasper.ai,Jasper.ai,UNKNOWN,Jasper is a leader in creating content using Artificial Intelligence,https://jasper.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/assembly-com,Assembly,Assembly,UNKNOWN,Create remarkable client experiences,https://www.assembly.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/fondo,Fondo,Fondo,UNKNOWN,"Bookkeeping, tax, & tax credits on autopilot for 2,000+ startups",https://fondo.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/weekend-fmr-volley,Weekend (fmr. Volley),Weekend (fmr. Volley),UNKNOWN,AI games and entertainment on TV,https://weekend.com,Consumer,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/tilt-fka-delphia,Tilt (f.k.a. Delphia),Tilt (f.k.a. Delphia),UNKNOWN,GitHub for Investment Methodology,http://tilt.io,Fintech,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/memora-health,Memora Health,Memora Health,UNKNOWN,Digitize and Automate Complex Care Workflows,https://memorahealth.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/observe-ai,Observe.AI,Observe.AI,UNKNOWN,Contact center AI platform.,https://observe.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/helloverify,Helloverify,Helloverify,UNKNOWN,Helloverify is a background screening platform (Checkr for India).  ,https://www.helloverify.ae,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/within,Within,Within,UNKNOWN,Company Brain for people and agents to work in harmony. ,http://within.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/searchlight,Searchlight,Searchlight,UNKNOWN,Talent AI improving quality of hire,https://www.searchlight.ai/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/jitx,JITX,JITX,UNKNOWN,Automatic circuit board design.,http://www.jitx.com,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/anima-app,Anima App,Anima App,UNKNOWN,Anima - Design Agent | AgentGrid.io - Shared drive for humans & agents,https://www.animaapp.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/labelflow,LabelFlow,LabelFlow,UNKNOWN,GitHub for visual data,https://labelflow.ai/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/regology,Regology,Regology,UNKNOWN,AI Agents for Regulatory Compliance,http://regology.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/alpha-vantage,Alpha Vantage,Alpha Vantage,UNKNOWN,Developer-friendly and enterprise-grade APIs for financial market…,https://www.alphavantage.co/,Fintech,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/prodigal,Prodigal,Prodigal,UNKNOWN,Lending Intelligence Software,https://prodigaltech.com/,Fintech,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/tenderd,TENDERD,TENDERD,UNKNOWN,AI Platform for Efficient and Sustainable Operations,https://www.tenderd.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/spate,SPATE,SPATE,UNKNOWN,Trends prediction for marketers,https://www.spate.nyc,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/lemonbox,LemonBox,LemonBox,UNKNOWN,"AI-generated personalized nutrition solutions, built for you daily.",http://www.lemonbox.com/,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/aesthetic,Aesthetic,Aesthetic,UNKNOWN,Your AI-powered creative apprentice 🪄,https://www.aesthetic.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/overview,Overview,Overview,UNKNOWN,"Reshaping industrial quality with AI, hardware, and software",https://overview.ai,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/allsome-fulfillment,AllSome Fulfillment,AllSome Fulfillment,UNKNOWN,Fulfillment platform to build Southeast Asia e-commerce operations,https://www.allsome.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/hatch,Hatch,Hatch,UNKNOWN,The AI CSR Platform,http://usehatch.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/brainkey,BrainKey,BrainKey,UNKNOWN,Brain Longevity,https://www.brainkey.ai/,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/tailornova-couturme,Tailornova/Couturme,Tailornova/Couturme,UNKNOWN,AI for Instantly Manufacturable Fashion,http://patternfast.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/demodesk,Demodesk,Demodesk,UNKNOWN,AI-powered sales coaching,https://demodesk.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/probably-genetic,Probably Genetic,Probably Genetic,UNKNOWN,Patient Intelligence Platform for Genetic Disease ,https://www.probablygenetic.com/,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/bunkerhill-health,Bunkerhill Health,Bunkerhill Health,UNKNOWN,Bunkerhill is the agentic AI platform for health systems,http://bunkerhillhealth.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/autodial-prev-qwest,Autodial prev Qwest,Autodial prev Qwest,UNKNOWN,Skip Busy Phone Lines,https://www.autodial.com,Consumer,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/hypnos,Hypnos,Hypnos,UNKNOWN,AI-powered sleep coach learns and optimizes your sleep,http://hypnos.ai,Consumer,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/allure-systems,Allure Systems,Allure Systems,UNKNOWN,A.I. to create stunning fashion images for eCommerce. ,http://www.alluresystems.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/kraftful,Kraftful,Kraftful,UNKNOWN,Copilot for product teams,http://www.kraftful.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/soteris,Soteris,Soteris,UNKNOWN,We write ML software to more accurately select & price insurance risk.,http://www.soteris.co,Fintech,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/yummy-future,Yummy Future,Yummy Future,UNKNOWN,We build robotic workforces for the food & beverage industry.,https://yummy-future.com,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/rosebud-ai,Rosebud AI,Rosebud AI,UNKNOWN,Vibe code games. ,http://rosebud.ai,Consumer,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/tensil,Tensil,Tensil,UNKNOWN,We turn machine learning models into custom hardware.,https://www.tensil.ai,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/vahan,Vahan,Vahan,UNKNOWN,AI recruiter for India's massive blue-collar workforce,https://vahan.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/finlens,Finlens,Finlens,UNKNOWN,AI Accounting for Founders & Accountants,https://finlens.app,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/hightouch,Hightouch,Hightouch,UNKNOWN,The leading Composable CDP and AI Decisioning platform,https://hightouch.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/meridian-industries,Meridian Industries,Meridian Industries,UNKNOWN,Index is the modern business intelligence platform,https://mora.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/taskade,Taskade,Taskade,UNKNOWN,One prompt. One app. One living workspace for teams.,https://www.taskade.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/motion,Motion,Motion,UNKNOWN,The only work management platform for both Human and AI Employees,https://www.usemotion.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/flowglad,Flowglad,Flowglad,UNKNOWN,"Analyze, act, and automate across systems",https://flowglad.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/mindsdb,MindsDB,MindsDB,UNKNOWN,"Connect, Unify, Respond to any data, anywhere with human-level…",https://www.mindsdb.com/,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/segmed,Segmed,Segmed,UNKNOWN,Real-World Data for Health Innovation,https://segmed.ai,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/nextmv,Nextmv,Nextmv,UNKNOWN,A DecisionOps platform that accelerates optimization AI teams,https://nextmv.io,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/datasaur,Datasaur,Datasaur,UNKNOWN,Datasaur builds private AI/agents for enterprise/government,https://datasaur.ai,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/dashworks,Dashworks,Dashworks,UNKNOWN,Your team's intelligent start page.,http://www.dashworks.ai,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/replicate,Replicate,Replicate,UNKNOWN,Run machine learning models in the cloud,https://replicate.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/basedash,Basedash,Basedash,UNKNOWN,The AI-native business intelligence platform,https://www.basedash.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/clayboard,Clayboard,Clayboard,UNKNOWN,"Create active, collaborative learning experiences ",http://clayboard.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/visual-one,Visual One,Visual One,UNKNOWN,AI for security cameras,https://www.visualone.tech,Consumer,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/ello,Ello,Ello,UNKNOWN,Building the world's first 1:1 AI teacher.,https://www.ello.com,Education,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/querypie-ai,QueryPie AI,QueryPie AI,UNKNOWN,QueryPie AIP - Enterprise Ready Agentic AI Platform,https://www.querypie.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/kinter,Kinter,Kinter,UNKNOWN,A new kind of power for finance teams,https://kinter.ai,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/dropbase,Dropbase,Dropbase,UNKNOWN,AI app builder for internal tools. Build back-office software faster…,https://dropbase.io,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/photoroom,Photoroom,Photoroom,UNKNOWN,Power commerce photography with generative AI,https://photoroom.com/,Consumer,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/modernbanc,Modernbanc,Modernbanc,UNKNOWN,Accounting software that works for you,https://modernbanc.com,Fintech,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/recurrency,Recurrency,Recurrency,UNKNOWN,Automated ERP for distributors.,http://www.recurrency.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/urbankisaan,UrbanKisaan,UrbanKisaan,UNKNOWN,Foundation models and autonomous chambers for plant biology,https://www.urbankisaan.com,Industrials,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/atmo,Atmo,Atmo,UNKNOWN,Ultra-precise AI weather forecasting.,http://atmo.ai,Industrials,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/airbyte,Airbyte,Airbyte,UNKNOWN,Context layer for production-grade AI agents,https://airbyte.com/,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/legionfarm,Legionfarm,Legionfarm,UNKNOWN,AI workspace for professional gamers,https://lfcarry.com/,Consumer,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/algen-biotechnologies,Algen Biotechnologies,Algen Biotechnologies,UNKNOWN,Using CRISPR to find treatments for cancer and inflammation,https://www.algenbio.com/,Healthcare,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/roboflow,Roboflow,Roboflow,UNKNOWN,🖼️ Give your software the sense of sight.,https://roboflow.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/infeedo-ai,inFeedo AI,inFeedo AI,UNKNOWN,"AI to engage employees, predict attrition and automate HR/IT support",https://infeedo.ai,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/datafold,Datafold,Datafold,UNKNOWN,Automating manual and repetitive data engineering tasks with AI,https://datafold.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/hypotenuse-ai,Hypotenuse AI,Hypotenuse AI,UNKNOWN,AI-native Operating System for Enterprise Ecommerce Companies,https://hypotenuse.ai/,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/corecare,CoreCare,CoreCare,UNKNOWN,Helping healthcare providers reduce administrative costs using AI,https://corecare.ai,Healthcare,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/humanloop,Humanloop,Humanloop,UNKNOWN,Humanloop is the LLM evals platform for enterprises. ,https://humanloop.com,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/nextera-robotics-didgeai,Nextera Robotics | DIDGE.ai,Nextera Robotics | DIDGE.ai,UNKNOWN,AI-native Robotics,https://nexterarobotics.com,Industrials,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/bik,BIK,BIK,UNKNOWN,Agentic AI CRM for ecommerce,https://bik.ai/,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/aquarium-learning,Aquarium Learning,Aquarium Learning,UNKNOWN,We help ML teams improve their models by improving their datasets,https://www.aquariumlearning.com/,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/dataland,Dataland,Dataland,UNKNOWN,AI agents for customer support.,https://dataland.io,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/mito,Mito,Mito,UNKNOWN,Cursor for data analysis,http://trymito.io,B2B,2026-08-30T11:51:01.982095+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/warmly,"Warmly,","Warmly,",UNKNOWN,[Acquired by HubSpot in 2026] Autonomous sales platform to auto-email…,https://www.warmly.ai/,B2B,2026-08-30T11:51:01.982095+00:00
